name,artists,duration_ms
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",178994
Kings & Queens,['Ava Max'],162399
Cloud 9,['Beach Bunny'],147351
F.N,['Lil Tjay'],224000
July,['Noah Cyrus'],156106
Take Me To Church,['Hozier'],241688
Más De La Una,"['Piso 21', 'Maluma']",236731
Remember That Night?,['Sara Kays'],227186
Boss Bitch,['Doja Cat'],134240
Lance Individual,['Jorge & Mateus'],164459
Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']",218093
Counting Stars,['OneRepublic'],257267
All I Want,['Kodaline'],305747
Story of My Life,['One Direction'],245493
Jeans,['Justin Quiles'],185840
BOP,['DaBaby'],159715
Sunday Best,['Surfaces'],158571
Hawái,['Maluma'],199112
Everybody Wants To Rule The World,['Tears For Fears'],251489
Head Shoulders Knees & Toes (feat. Norma Jean Martine),"['Ofenbach', 'Quarterhead', 'Norma Jean Martine']",156960
Livin' On A Prayer,['Bon Jovi'],249293
Be Kind (with Halsey),"['Marshmello', 'Halsey']",172762
The Real Slim Shady,['Eminem'],284200
In the End,['Linkin Park'],216880
Alô Ambev (Segue Sua Vida) - Ao Vivo,['Zé Neto & Cristiano'],169593
What Makes You Beautiful,['One Direction'],199987
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']",227478
Spicy (feat. Post Malone),"['Ty Dolla $ign', 'Post Malone']",143375
Play Date,['Melanie Martinez'],179867
Love Yourself,['Justin Bieber'],233720
Thinking out Loud,['Ed Sheeran'],281560
Seven Nation Army,['The White Stripes'],231733
"thank u, next",['Ariana Grande'],207320
BOOKER T,['Bad Bunny'],156430
Highway to Hell,['AC/DC'],208400
It's You,['Ali Gatie'],212607
Met Him Last Night (feat. Ariana Grande),"['Demi Lovato', 'Ariana Grande']",204632
GREECE (feat. Drake),"['DJ Khaled', 'Drake']",218902
This City,['Sam Fischer'],194853
Fly Away,['Tones And I'],178157
21,['Polo G'],163798
Sweet but Psycho,['Ava Max'],187436
Break My Heart,['Dua Lipa'],221820
Mi Cuarto,['Jerry Di'],197587
After Party,['Don Toliver'],167916
Africa,['TOTO'],295893
Del Mar,"['Ozuna', 'Doja Cat', 'Sia']",214507
I Feel It Coming,"['The Weeknd', 'Daft Punk']",269187
Redbone,['Childish Gambino'],326933
Stereo Hearts (feat. Adam Levine),"['Gym Class Heroes', 'Adam Levine']",210960
Lose You To Love Me,['Selena Gomez'],206459
LA CANCIÓN,"['J Balvin', 'Bad Bunny']",242573
Line Without a Hook,['Ricky Montgomery'],249587
THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",165978
Something Just Like This,"['The Chainsmokers', 'Coldplay']",247160
Señorita,"['Shawn Mendes', 'Camila Cabello']",190960
Sucker,['Jonas Brothers'],181027
OUT WEST (feat. Young Thug),"['JACKBOYS', 'Travis Scott', 'Young Thug']",157712
Boy With Luv (feat. Halsey),"['BTS', 'Halsey']",229773
